,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
998,male,1,no,no,20,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,84.35,1745.2,0
999,male,1,yes,yes,1,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,credit_card_(automatic),49.25,49.25,1
1000,male,0,yes,yes,19,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,yes,electronic_check,100.95,1875.55,1
1001,female,0,no,no,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),19.9,527.5,0
1002,female,0,yes,yes,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),19.7,395.6,0
1003,female,0,no,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_(automatic),19.35,433.75,0
1004,female,1,no,no,67,yes,no,fiber_optic,yes,yes,no,yes,yes,no,two_year,yes,bank_transfer_(automatic),92.45,6140.85,0
1005,male,0,no,no,25,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,electronic_check,69.75,1729.35,0
1006,male,0,no,no,3,yes,no,dsl,no,no,yes,no,no,no,month_to_month,yes,electronic_check,49.15,169.05,1
1007,male,0,no,no,15,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month_to_month,yes,electronic_check,99.7,1566.75,0
1008,male,0,yes,no,7,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,69.35,451.1,1
1009,male,0,yes,no,45,yes,yes,fiber_optic,no,yes,no,no,no,no,month_to_month,no,bank_transfer_(automatic),81.4,3775.85,0
1010,male,0,no,no,4,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,mailed_check,50.8,202.3,0
1011,female,0,yes,yes,47,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),21.3,1041.8,0
1012,female,0,no,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,bank_transfer_(automatic),101.3,7261.25,0
1013,male,0,yes,no,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.9,1363.45,0
1014,male,0,yes,yes,13,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),24.5,343.6,0
1015,male,1,no,no,38,yes,no,dsl,no,yes,yes,yes,yes,no,one_year,yes,credit_card_(automatic),70.15,2497.35,1
1016,female,0,yes,yes,25,yes,yes,fiber_optic,no,no,yes,no,no,yes,month_to_month,yes,electronic_check,89.1,2368.4,1
1017,female,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,mailed_check,70.6,70.6,0
1018,male,0,yes,no,68,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.05,1629.2,0
1019,male,0,yes,yes,15,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.35,278.85,0
1020,male,1,yes,no,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),64.95,4546.0,0
1021,female,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),90.95,6468.6,0
1022,female,0,no,no,6,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,electronic_check,49.45,314.6,0
1023,male,0,no,no,54,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,two_year,yes,credit_card_(automatic),108.0,5760.65,0
1024,male,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),69.8,134.7,1
1025,female,1,yes,no,47,yes,yes,dsl,yes,yes,yes,no,no,no,month_to_month,yes,credit_card_(automatic),67.45,3252.0,0
1026,female,0,no,no,37,no,no_phone_service,dsl,no,no,yes,no,no,yes,month_to_month,yes,credit_card_(automatic),40.2,1478.85,0
1027,female,0,no,no,4,yes,yes,dsl,no,no,no,no,no,no,month_to_month,no,electronic_check,50.7,214.55,0
1028,male,0,no,no,47,yes,no,dsl,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),86.95,4138.9,0
1029,female,0,no,no,11,yes,no,dsl,no,no,yes,yes,no,yes,one_year,no,credit_card_(automatic),64.9,697.25,0
1030,female,0,no,no,53,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.25,1048.45,0
1031,male,0,yes,no,58,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.75,1185.95,0
1032,male,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,credit_card_(automatic),19.9,33.7,0
1033,female,0,yes,no,53,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),111.8,5809.75,0
1034,male,0,no,yes,19,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),25.35,566.1,0
1035,female,0,no,yes,35,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_(automatic),20.1,644.5,0
1036,female,0,yes,yes,5,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,mailed_check,49.4,232.55,0
1037,male,0,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.1,936.85,0
1038,female,1,no,no,1,no,no_phone_service,dsl,no,no,no,no,yes,no,month_to_month,yes,electronic_check,36.45,36.45,1
1039,male,1,yes,no,15,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,bank_transfer_(automatic),85.6,1345.55,1
1040,female,1,no,no,27,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),110.5,2857.6,0
1041,female,0,no,no,7,yes,no,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,mailed_check,80.3,526.7,1
1042,female,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.55,20.55,1
1043,male,0,yes,yes,43,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),104.3,4451.85,0
1044,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one_year,no,mailed_check,78.2,2078.95,0
1045,male,0,no,no,2,yes,no,fiber_optic,no,yes,no,no,no,no,month_to_month,yes,electronic_check,74.75,144.8,0
1046,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,44.8,44.8,0
1047,male,0,no,no,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),18.95,326.8,0
1048,male,0,no,yes,71,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,two_year,no,bank_transfer_(automatic),106.7,7382.25,0
1049,female,0,no,no,5,yes,no,fiber_optic,no,no,no,yes,no,no,month_to_month,yes,mailed_check,75.65,399.45,0
1050,female,0,yes,yes,55,yes,yes,dsl,yes,yes,no,yes,no,yes,one_year,yes,bank_transfer_(automatic),75.75,4264.25,0
1051,male,0,no,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.35,178.7,0
1052,male,0,yes,yes,26,yes,no,fiber_optic,no,no,no,no,no,yes,one_year,no,bank_transfer_(automatic),78.95,2034.25,0
1053,male,0,no,no,4,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),44.8,176.2,0
1054,female,0,yes,yes,72,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),83.7,6096.9,0
1055,male,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,credit_card_(automatic),70.7,140.7,1
1056,male,0,yes,no,49,yes,no,fiber_optic,no,yes,no,no,yes,yes,two_year,yes,electronic_check,94.8,4690.65,0
1057,male,0,yes,no,56,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),19.95,1126.75,0
1058,male,0,no,no,18,yes,no,dsl,yes,no,yes,yes,yes,no,month_to_month,yes,electronic_check,68.35,1299.8,0
1059,female,0,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.0,233.55,1
1060,female,0,no,no,21,yes,no,fiber_optic,no,yes,yes,no,no,yes,month_to_month,yes,electronic_check,90.05,1862.9,0
1061,male,0,no,yes,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.95,58.3,0
1062,female,0,yes,no,28,yes,no,fiber_optic,yes,no,no,no,yes,yes,month_to_month,yes,mailed_check,92.35,2602.9,1
1063,female,1,no,no,2,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,85.55,187.45,1
1064,female,0,no,no,40,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,no,bank_transfer_(automatic),83.85,3532.25,0
1065,male,0,yes,yes,42,yes,no,dsl,no,no,yes,yes,yes,yes,one_year,no,electronic_check,73.15,3088.25,0
1066,female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.9,19.9,1
1067,female,0,yes,yes,57,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,100.6,5611.7,0
1068,male,1,yes,no,51,no,no_phone_service,dsl,no,yes,no,no,no,no,month_to_month,yes,credit_card_(automatic),29.45,1459.35,0
1069,male,1,yes,no,10,yes,no,fiber_optic,no,yes,yes,yes,yes,no,month_to_month,yes,mailed_check,92.5,934.1,1
1070,male,0,no,no,60,yes,no,dsl,yes,no,yes,yes,yes,yes,one_year,no,mailed_check,79.0,4801.1,0
1071,female,0,yes,yes,71,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),109.0,7661.8,0
1072,male,0,no,no,22,no,no_phone_service,dsl,no,yes,yes,no,no,yes,one_year,yes,bank_transfer_(automatic),43.75,903.6,1
1073,male,0,yes,no,38,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,one_year,yes,electronic_check,110.7,4428.6,0
1074,female,0,yes,yes,65,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,two_year,yes,credit_card_(automatic),104.3,6725.3,0
1075,male,0,yes,yes,67,yes,yes,fiber_optic,yes,yes,no,yes,no,no,one_year,no,electronic_check,89.55,6038.55,0
1076,male,0,no,no,21,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,credit_card_(automatic),20.5,402.85,0
1077,male,1,no,no,9,yes,yes,dsl,yes,no,no,no,no,no,month_to_month,no,electronic_check,54.55,494.05,1
1078,female,0,yes,no,4,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,no,mailed_check,54.7,235.05,0
1079,female,0,no,no,7,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,no,bank_transfer_(automatic),25.05,189.95,0
1080,female,0,no,no,21,no,no_phone_service,dsl,yes,no,no,yes,no,no,two_year,no,mailed_check,35.1,770.4,0
1081,female,1,no,no,3,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,no,electronic_check,25.3,77.75,1
1082,male,0,no,yes,19,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.85,467.5,0
1083,male,0,no,no,21,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month_to_month,no,mailed_check,103.85,2215.0,0
1084,male,0,no,no,4,yes,yes,fiber_optic,yes,no,no,no,yes,no,month_to_month,no,electronic_check,90.65,367.95,0
1085,male,0,no,yes,47,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,yes,electronic_check,55.3,2654.05,0
1086,female,0,no,no,29,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,credit_card_(automatic),98.6,2933.2,1
1087,female,0,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one_year,yes,bank_transfer_(automatic),62.15,2215.45,0
1088,female,0,no,no,47,yes,yes,fiber_optic,yes,no,yes,no,yes,no,one_year,no,credit_card_(automatic),94.9,4615.25,0
1089,male,0,yes,no,47,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,electronic_check,25.4,1139.2,0
1090,male,0,yes,no,64,yes,yes,fiber_optic,yes,yes,yes,no,no,no,one_year,no,bank_transfer_(automatic),89.45,5692.65,0
1091,male,0,yes,yes,58,yes,yes,fiber_optic,no,no,no,no,yes,no,two_year,no,bank_transfer_(automatic),82.5,4828.05,0
1092,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,mailed_check,70.9,70.9,1
1093,female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,20.35,20.35,0
1094,male,0,yes,yes,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.65,225.75,0
1095,male,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.4,93.4,0
1096,male,0,no,yes,31,yes,yes,dsl,no,yes,no,yes,yes,yes,one_year,yes,mailed_check,79.45,2587.7,1
1097,male,0,yes,no,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,bank_transfer_(automatic),19.55,161.15,0
1098,male,0,no,no,51,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.45,1042.65,0
1099,male,0,no,no,7,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,mailed_check,85.2,602.55,1
1100,female,0,no,yes,50,yes,no,dsl,yes,no,yes,yes,yes,no,one_year,yes,credit_card_(automatic),70.8,3478.15,0
1101,male,0,no,no,3,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,mailed_check,50.5,147.75,0
1102,male,0,no,no,3,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,mailed_check,50.25,152.3,0
1103,male,0,no,no,18,no,no_phone_service,dsl,no,yes,yes,no,no,no,month_to_month,yes,credit_card_(automatic),33.5,600.0,1
1104,male,0,yes,yes,69,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),114.35,7665.8,0
1105,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,81.95,81.95,1
1106,male,0,no,no,53,no,no_phone_service,dsl,yes,yes,no,no,no,yes,month_to_month,yes,bank_transfer_(automatic),46.3,2546.85,0
1107,female,1,no,no,34,yes,yes,fiber_optic,no,yes,no,yes,yes,no,month_to_month,yes,electronic_check,96.35,3190.25,0
1108,male,0,no,no,10,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,70.0,740.0,1
1109,male,0,no,no,12,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,106.7,1253.9,1
1110,male,0,no,no,15,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,93.35,1444.65,1
1111,male,0,no,no,45,no,no_phone_service,dsl,yes,no,yes,yes,no,no,one_year,no,bank_transfer_(automatic),42.3,1840.75,0
1112,female,0,no,no,47,no,no_phone_service,dsl,yes,yes,no,yes,no,no,one_year,no,credit_card_(automatic),39.65,1798.65,0
1113,male,0,no,no,11,yes,no,fiber_optic,yes,no,yes,no,no,no,month_to_month,yes,bank_transfer_(automatic),79.5,795.65,0
1114,female,0,no,yes,48,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.95,936.7,0
1115,male,1,yes,no,54,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,no,bank_transfer_(automatic),74.0,3919.15,0
1116,female,0,yes,yes,72,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,no,mailed_check,107.45,7576.7,0
1117,female,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,no,electronic_check,68.95,119.75,1
1118,female,0,no,no,71,yes,no,dsl,yes,yes,yes,yes,yes,no,two_year,no,credit_card_(automatic),77.35,5550.1,0
1119,female,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,70.55,70.55,1
1120,male,0,no,no,52,yes,yes,fiber_optic,no,no,yes,no,no,yes,two_year,yes,credit_card_(automatic),89.45,4577.75,0
1121,female,0,yes,yes,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.05,406.05,0
1122,male,0,yes,yes,38,yes,yes,dsl,no,yes,yes,no,yes,yes,one_year,no,credit_card_(automatic),78.95,2862.55,0
1123,female,0,no,no,31,yes,yes,fiber_optic,no,no,yes,no,no,yes,month_to_month,yes,electronic_check,89.9,2806.9,1
1124,female,0,yes,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_(automatic),19.5,146.3,1
1125,male,0,yes,no,71,yes,yes,dsl,no,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),84.2,5956.85,0
1126,male,0,yes,no,43,yes,yes,dsl,yes,yes,no,yes,no,no,month_to_month,no,bank_transfer_(automatic),66.25,2907.35,0
1127,male,0,yes,no,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,85.25,855.3,1
1128,male,0,yes,yes,8,yes,no,dsl,no,no,yes,no,no,no,month_to_month,yes,electronic_check,51.05,415.05,1
1129,female,0,yes,no,63,yes,yes,dsl,yes,yes,no,no,yes,yes,one_year,yes,credit_card_(automatic),79.7,4786.15,0
1130,male,0,no,no,12,yes,yes,dsl,yes,yes,no,yes,no,no,month_to_month,yes,electronic_check,67.25,832.3,0
1131,male,0,yes,no,24,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,93.0,2248.05,0
1132,female,0,yes,yes,23,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,no,electronic_check,85.6,1868.4,0
1133,female,1,no,no,2,yes,no,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,79.6,195.05,1
1134,female,0,no,no,10,yes,no,dsl,no,no,yes,yes,no,no,month_to_month,no,electronic_check,54.25,583.0,0
1135,male,0,no,no,19,yes,no,fiber_optic,no,no,no,yes,no,yes,one_year,yes,credit_card_(automatic),87.7,1725.95,0
1136,male,1,no,no,14,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,95.6,1273.3,0
1137,female,0,no,no,22,yes,yes,fiber_optic,no,no,no,yes,yes,no,month_to_month,yes,electronic_check,90.0,1993.8,1
1138,female,0,no,no,11,yes,yes,fiber_optic,yes,no,no,no,no,no,month_to_month,yes,bank_transfer_(automatic),79.0,929.3,0
1139,male,0,yes,yes,31,yes,yes,dsl,no,no,no,no,no,yes,month_to_month,no,bank_transfer_(automatic),59.7,1825.5,0
1140,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,44.1,44.1,1
1141,female,0,no,no,19,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.9,367.55,0
1142,male,1,no,no,17,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,45.05,770.6,1
1143,female,1,no,no,16,yes,no,fiber_optic,no,no,no,yes,yes,yes,month_to_month,yes,electronic_check,94.45,1511.2,1
1144,male,0,yes,yes,55,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),19.35,1153.25,0
1145,male,1,yes,no,38,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,102.6,4009.2,0
1146,male,0,no,no,17,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.45,369.05,0
1147,female,0,yes,no,59,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,no,electronic_check,101.1,6039.9,1
1148,male,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month_to_month,no,mailed_check,50.75,50.75,0
1149,male,0,no,yes,29,yes,yes,fiber_optic,no,yes,yes,yes,no,yes,one_year,no,credit_card_(automatic),100.55,2830.45,0
1150,male,0,yes,yes,68,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),24.0,1664.3,0
1151,female,0,yes,no,64,yes,no,fiber_optic,yes,no,no,yes,yes,yes,one_year,yes,mailed_check,96.9,6314.35,0
1152,male,0,yes,yes,10,no,no_phone_service,dsl,yes,yes,yes,yes,no,yes,two_year,no,credit_card_(automatic),53.7,521.0,0
1153,female,0,yes,yes,70,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),19.8,1378.75,0
1154,male,0,no,no,4,yes,no,dsl,no,yes,no,no,no,no,month_to_month,no,mailed_check,49.25,208.45,0
1155,female,0,no,no,17,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),20.05,337.9,0
1156,male,1,no,no,9,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,83.85,790.15,1
1157,female,0,no,no,15,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,credit_card_(automatic),25.4,399.6,1
1158,male,1,yes,no,72,yes,yes,fiber_optic,no,yes,no,no,yes,yes,one_year,yes,credit_card_(automatic),97.25,7133.1,0
1159,male,0,yes,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,credit_card_(automatic),20.55,51.15,1
1160,male,0,yes,yes,66,yes,no,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),103.15,7031.3,0
1161,male,0,yes,no,66,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,credit_card_(automatic),105.0,7133.25,1
1162,male,0,yes,yes,59,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.3,1192.7,0
1163,male,0,yes,no,61,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,yes,mailed_check,62.15,3778.85,0
1164,female,1,yes,no,60,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),116.05,6925.9,0
1165,male,1,yes,no,29,yes,yes,fiber_optic,no,no,no,yes,no,no,month_to_month,yes,electronic_check,79.3,2414.55,0
1166,female,0,no,no,4,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,24.25,96.05,1
1167,female,1,yes,no,43,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,month_to_month,no,credit_card_(automatic),55.55,2342.2,1
1168,male,1,yes,no,23,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,104.45,2184.85,0
1169,female,0,no,no,41,yes,no,fiber_optic,no,yes,no,yes,yes,yes,two_year,yes,bank_transfer_(automatic),98.8,3959.15,0
1170,female,1,yes,no,50,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,25.2,1306.3,0
1171,female,1,yes,no,60,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,105.9,6401.25,0
1172,male,0,no,no,12,yes,yes,dsl,no,no,yes,no,yes,yes,month_to_month,no,bank_transfer_(automatic),74.75,827.05,0
1173,male,1,no,no,52,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,bank_transfer_(automatic),72.95,3829.75,0
1174,male,0,yes,yes,26,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),19.15,515.75,0
1175,male,1,no,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),25.1,1789.9,0
1176,female,1,yes,no,45,yes,no,fiber_optic,no,no,yes,no,no,yes,month_to_month,yes,electronic_check,86.1,3861.45,0
1177,female,1,no,no,40,yes,no,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,91.55,3673.6,0
1178,male,0,no,no,24,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,bank_transfer_(automatic),99.65,2404.85,0
1179,female,0,yes,no,70,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,electronic_check,110.5,7752.05,0
1180,female,0,yes,no,5,yes,no,fiber_optic,yes,no,yes,no,no,yes,month_to_month,yes,mailed_check,88.9,454.15,1
1181,male,0,no,no,49,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,bank_transfer_(automatic),103.7,5036.3,1
1182,male,0,yes,no,41,yes,yes,fiber_optic,no,yes,no,no,no,no,month_to_month,yes,electronic_check,80.25,3439.0,0
1183,male,1,no,no,9,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,85.05,746.5,1
1184,female,0,no,no,18,yes,yes,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,50.3,913.3,0
1185,female,0,no,no,1,yes,no,dsl,no,yes,no,no,no,no,month_to_month,yes,electronic_check,48.6,48.6,0
1186,female,0,no,no,4,no,no_phone_service,dsl,yes,no,yes,yes,no,yes,month_to_month,no,mailed_check,48.25,202.25,0
1187,female,0,no,no,23,yes,no,fiber_optic,no,yes,yes,yes,no,no,month_to_month,no,bank_transfer_(automatic),83.2,2032.3,0
1188,male,0,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,yes,month_to_month,yes,electronic_check,35.45,35.45,1
1189,female,0,no,no,50,no,no_phone_service,dsl,no,yes,yes,yes,no,no,two_year,no,credit_card_(automatic),39.7,1932.75,0
1190,male,0,yes,yes,34,no,no_phone_service,dsl,no,no,yes,yes,yes,no,month_to_month,yes,electronic_check,44.85,1442.6,0
